X.AUTHID,FEA1,FEA2,FEA3,FEA_NRC1,FEA_NRC2,FEA_NRC3
b'http://searsholdings.com/press-releases/pr/1973',", -, America's most trusted auto battery brand, is on the hunt to find the country's biggest, most passionate diehard fans across numerous categories through its ""From the Start"" contest.","From now through , the DieHard brand will celebrate the lovers of sports, music, cars, food and more by rewarding 14 individuals with their very own custom diehard fan e. To enter the DieHard From the Start contest, consumers are encouraged to visit and submit their story, along with a photo, describing how they first became diehard devotees.","To learn more about the DieHard brand, visit .",", -, America's most trusted auto battery brand, is on the hunt to find the country's biggest, most passionate diehard fans across numerous categories through its ""From the Start"" contest.","From now through , the DieHard brand will celebrate the lovers of sports, music, cars, food and more by rewarding 14 individuals with their very own custom diehard fan e. To enter the DieHard From the Start contest, consumers are encouraged to visit and submit their story, along with a photo, describing how they first became diehard devotees.","To learn more about the DieHard brand, visit ."
b'https://www.caesars.com/planet-hollywood/restaurants/pin-up-pizza?icml=lasvegasblog_CNW_Restaurants_PHV',This Las Vegas pizza place offers fresh and delicious pizza by the slice.,;Pin-Up Pizza boasts two separate dining areas.,The Vegas pizza spot is open until 4 a.m.,This Las Vegas pizza place offers fresh and delicious pizza by the slice.,;Pin-Up Pizza boasts two separate dining areas.,The Vegas pizza spot is open until 4 a.m.
b'https://www.citrix.com/blogs/2016/04/19/growth-spurt-is-just-one-benefit-of-partners-citrix-centric-strategy/',"In this role he has led a restructure of the global CSA program and launched a new partner incentive program Opportunity Registration for Citrix networking products, and updated the companys award-winning partner incentive program, Advisor Rewards.",This January his team launched an updated Citrix Solution Advisor program and Specializations making competence the cornerstone to partner value.,"He also launched the Global Citrix Enterprise License program for commercial customers and the Citrix Service Provider partner program, which continues to e rich growth since its official launch in 2009.","In this role he has led a restructure of the global CSA program and launched a new partner incentive program Opportunity Registration for Citrix networking products, and updated the companys award-winning partner incentive program, Advisor Rewards.",This January his team launched an updated Citrix Solution Advisor program and Specializations making competence the cornerstone to partner value.,"He also launched the Global Citrix Enterprise License program for commercial customers and the Citrix Service Provider partner program, which continues to e rich growth since its official launch in 2009."
b'http://searsholdings.com/press-releases/pr/1760',"""Whether its push mowers, riding mowers or any other piece of lawn and garden equipment, Sears specially trained technicians service the product, no matter where the customer bought it.""","Consumers can call 1-800-4-MY-HOME (1-800-469-4663) 24 hours a day, seven days a week, or visit the Sears Web site at to schedule riding mower repairs, find the nearest Sears Parts & Repair center or purchase lawn equipment parts.","Sears repair specialists are trained through the Sears Technological Institute, the first fully accredited educational institution of its kind in the U.S. Technicians make over 200,000 in-home repair visits per week and service most major brands no matter where the customer purchased the product.","""Whether its push mowers, riding mowers or any other piece of lawn and garden equipment, Sears specially trained technicians service the product, no matter where the customer bought it.""","Consumers can call 1-800-4-MY-HOME (1-800-469-4663) 24 hours a day, seven days a week, or visit the Sears Web site at to schedule riding mower repairs, find the nearest Sears Parts & Repair center or purchase lawn equipment parts.","Sears repair specialists are trained through the Sears Technological Institute, the first fully accredited educational institution of its kind in the U.S. Technicians make over 200,000 in-home repair visits per week and service most major brands no matter where the customer purchased the product."
b'http://investors.citrix.com/releasedetail.cfm?ReleaseID=591671',; The conference call may also be accessed by dialing: ; (888) 799-0519 or (706) 634-0155; Using passcode: CITRIX A replay of the webcast can be viewed by visiting the Investor section of the Citrix corporate website at:/www.citrix.com/investors for appro 30 days.,"; Citri is a registered trademark of Citrix Systems, Inc. in the.S.","; CONTACT: ;Citrix Systems, Inc., Fort Lauderdale; Investor Inquiries:; Jeff Lilly, 954-267-2886; or; Media Inquiries:; Eric Armstrong, 954-267-2977;SOURCE: Citrix Systems, Inc. | ;Copyright 2017 Citrix Systems, Inc",; The conference call may also be accessed by dialing: ; (888) 799-0519 or (706) 634-0155; Using passcode: CITRIX A replay of the webcast can be viewed by visiting the Investor section of the Citrix corporate website at:/www.citrix.com/investors for appro 30 days.,"; Citri is a registered trademark of Citrix Systems, Inc. in the.S.","; CONTACT: ;Citrix Systems, Inc., Fort Lauderdale; Investor Inquiries:; Jeff Lilly, 954-267-2886; or; Media Inquiries:; Eric Armstrong, 954-267-2977;SOURCE: Citrix Systems, Inc. | ;Copyright 2017 Citrix Systems, Inc"
b'https://www.citrix.com/blogs/2017/05/16/unified-gateway-single-sign-on-to-vdi-web-enterprise-saas-applications/',";Below are some of the key capabilities we are introducing with Unified Gateway in 12.0.;NetScaler Unified Gateway now offers support for the PCoIP protocol and supports VMware Horizon, in addition to Citrix ;, and Microsoft RDP.","With this, NetScaler Unified Gateway now supports all VDI environments.",NetScaler Unified Gateway is the only delivery solution that supports this feature.,";Below are some of the key capabilities we are introducing with Unified Gateway in 12.0.;NetScaler Unified Gateway now offers support for the PCoIP protocol and supports VMware Horizon, in addition to Citrix ;, and Microsoft RDP.","With this, NetScaler Unified Gateway now supports all VDI environments.",NetScaler Unified Gateway is the only delivery solution that supports this feature.
b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html',"This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organizations better meet the demand for customer engagement.",Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,"The solution can help shoppers request in-store assistance and receive customized offers to their mobile devices at the right time, potentially increasing total sales and providing an optimized shopping e.; Motorola Solutions Wireless LAN; Motorola Solutions Retail; MPact Platform for Mobile Marketing; @MotWireless; Motorola Solutions;Apple and iBeacon are registered trademarks of Apple Computer, Inc. Additional company and product names may be trademarks or registered trademarks of the individual companies and are respectfully acknowledged.","This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organizations better meet the demand for customer engagement.",Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,"The solution can help shoppers request in-store assistance and receive customized offers to their mobile devices at the right time, potentially increasing total sales and providing an optimized shopping e.; Motorola Solutions Wireless LAN; Motorola Solutions Retail; MPact Platform for Mobile Marketing; @MotWireless; Motorola Solutions;Apple and iBeacon are registered trademarks of Apple Computer, Inc. Additional company and product names may be trademarks or registered trademarks of the individual companies and are respectfully acknowledged."
b'https://digitalprinting.blogs.xerox.com/tag/xerox/page/3/'," In the spirit of the NCAA Basketball Tournament, we put together a fun little bracket of our own for the digital print industry, complete with a collection of digital print success stories going head-to-head in regions such as Books/Manuals, Direct Marketing, Packaging, and Transactional/Promotional.","Xerox has found a fun way to celebrate, highlighted by a print application produced on the Xerox Color 550/560 Printer, containing over 500,000 digits of pi, all of which are 1/100th of an inch in height.","In-plant print professionals gathered to discuss various strategies and success stories for how they are overcoming challenges in transforming their in-house shops into high-powered marketing machines, bridging the print and digital worlds by leveraging social media, multi-channel communications and big data trends."," In the spirit of the NCAA Basketball Tournament, we put together a fun little bracket of our own for the digital print industry, complete with a collection of digital print success stories going head-to-head in regions such as Books/Manuals, Direct Marketing, Packaging, and Transactional/Promotional.","Xerox has found a fun way to celebrate, highlighted by a print application produced on the Xerox Color 550/560 Printer, containing over 500,000 digits of pi, all of which are 1/100th of an inch in height.","In-plant print professionals gathered to discuss various strategies and success stories for how they are overcoming challenges in transforming their in-house shops into high-powered marketing machines, bridging the print and digital worlds by leveraging social media, multi-channel communications and big data trends."
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle_Print',These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise.",These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise."
b'http://newsroom.lufthansagroup.com/english/news/all',; Who monitors Lufthansa's social media channels?,"; Starting 12 September Fourth and fifth Lufthansa A350-900s to enter commercial service from Munich From 12 September, Lufthansa will be offering flights to Hong Kong on an Airbus A350-900.",And this is why we here at the Lufthansa Group are using.,; Who monitors Lufthansa's social media channels?,"; Starting 12 September Fourth and fifth Lufthansa A350-900s to enter commercial service from Munich From 12 September, Lufthansa will be offering flights to Hong Kong on an Airbus A350-900.",And this is why we here at the Lufthansa Group are using.
b'https://blog.fitbit.com/rocco-dispirito-training-holiday-eating-staying-active-with-fitbit/',"Here,;Eating healthy, delicious, nutritious and flavorful foods is key to any weight loss.","When you keep a running diary of the foods youve eaten in a day, youre e conscious of what you eat.","This is when youre going to see the most results for your efforts, especially on a ; diet.","Here,;Eating healthy, delicious, nutritious and flavorful foods is key to any weight loss.","When you keep a running diary of the foods youve eaten in a day, youre e conscious of what you eat.","This is when youre going to see the most results for your efforts, especially on a ; diet."
b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key',"Simply adapting, meeting and e the needs of consumers will ensure that they stay in store.","For e, when retailers launched their Click & Collect service and located it within the store, it failed because consumers didnt want to go into the store to just pick up shopping.",;Adapting to the new customer DNA and having the product available will be one more reason for the consumer to stay in your store.,"Simply adapting, meeting and e the needs of consumers will ensure that they stay in store.","For e, when retailers launched their Click & Collect service and located it within the store, it failed because consumers didnt want to go into the store to just pick up shopping.",;Adapting to the new customer DNA and having the product available will be one more reason for the consumer to stay in your store.
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print',These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company's ability to enter into additional projects with Statoil, the amount of subsea equipment actually ordered pursuant to the agreement and the Company's ability to successfully manufacture and deliver, and Statoil's acceptance of, the subsea systems ordered.",These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company's ability to enter into additional projects with Statoil, the amount of subsea equipment actually ordered pursuant to the agreement and the Company's ability to successfully manufacture and deliver, and Statoil's acceptance of, the subsea systems ordered."
b'http://www.mastec.com/press-release/1799/1/MasTec-Announces-Significantly-Expanded-Bank-Credit-Facility.aspx',"As of ;, MasTec had appro ; in outstanding loans and ; in letters of credit under the amended credit facility., MasTec's E Vice President and Chief Financial Officer, noted, ""We view the e and amended bank credit facility as a good reflection of the progress that MasTec has made in recent years.","Based on our current metrics, availability under the e credit facility is now in the ; range, compared to about ; under the prior credit facility.","While our previous credit facility did not e until May, 2013, we decided to e and e our credit facility now to take advantage of a very attractive banking market for companies like MasTec.","As of ;, MasTec had appro ; in outstanding loans and ; in letters of credit under the amended credit facility., MasTec's E Vice President and Chief Financial Officer, noted, ""We view the e and amended bank credit facility as a good reflection of the progress that MasTec has made in recent years.","Based on our current metrics, availability under the e credit facility is now in the ; range, compared to about ; under the prior credit facility.","While our previous credit facility did not e until May, 2013, we decided to e and e our credit facility now to take advantage of a very attractive banking market for companies like MasTec."
b'http://www.wholefoodsmarket.com/blog/whole-story/what-halal-about',"Prepared with tender, boneless, chicken, and baked according to authentic traditions with freshly-ground tandoori spices simmered in a savory yogurt and tomato sauce.","Australian lamb slow-simmered with a blend of Indian spices, ginger and yogurt and served on a thick bed of savory Saag, a traditional spinach dish.","Australian lamb marinated in an e tamarind-infused curry sauce, cumin, hot Indian spices and yogurt, then slow simmered for hours until tender and tangy and served with Basmati rice.","Prepared with tender, boneless, chicken, and baked according to authentic traditions with freshly-ground tandoori spices simmered in a savory yogurt and tomato sauce.","Australian lamb slow-simmered with a blend of Indian spices, ginger and yogurt and served on a thick bed of savory Saag, a traditional spinach dish.","Australian lamb marinated in an e tamarind-infused curry sauce, cumin, hot Indian spices and yogurt, then slow simmered for hours until tender and tangy and served with Basmati rice."
b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html',"This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organisations better meet the demand for customer engagement.",Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,"The solution can help shoppers request in-store assistance and receive customised offers to their mobile devices at the right time, potentially increasing total sales and providing an optimized shopping e.; Motorola Solutions Wireless LAN; Motorola Solutions Retail; MPact Platform for Mobile Marketing; @MotWireless; Motorola Solutions;Apple and iBeacon are registered trademarks of Apple Computer, Inc. Additional company and product names may be trademarks or registered trademarks of the individual companies and are respectfully acknowledged.","This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organisations better meet the demand for customer engagement.",Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,"The solution can help shoppers request in-store assistance and receive customised offers to their mobile devices at the right time, potentially increasing total sales and providing an optimized shopping e.; Motorola Solutions Wireless LAN; Motorola Solutions Retail; MPact Platform for Mobile Marketing; @MotWireless; Motorola Solutions;Apple and iBeacon are registered trademarks of Apple Computer, Inc. Additional company and product names may be trademarks or registered trademarks of the individual companies and are respectfully acknowledged."
b'https://www.xilinx.com/news/press/2014/xilinx-wins-2014-edn-china-innovation-awards.html',The company was recognized with a Top 10 Most Influencial Technologies for the Future award for its All Programmable SoC technology and the Best Product award in the programmable devices category.,";""As the 10; anniversary of EDN China award, this year's awards recognized each winning product's and company's industry impact and leadership,"" said Yorbe Zhang, head of content at EDN China.",";In the 10-year history of the EDN China Innovation Awards, Xilinx has won a total of 13 awards, including five best product awards for its All Programmable technologies such as Kintex-7 FPGA, ISE Design Suite, Vivado Design Suite, and Zynq-7000 All Programmable SoCs.",The company was recognized with a Top 10 Most Influencial Technologies for the Future award for its All Programmable SoC technology and the Best Product award in the programmable devices category.,";""As the 10; anniversary of EDN China award, this year's awards recognized each winning product's and company's industry impact and leadership,"" said Yorbe Zhang, head of content at EDN China.",";In the 10-year history of the EDN China Innovation Awards, Xilinx has won a total of 13 awards, including five best product awards for its All Programmable technologies such as Kintex-7 FPGA, ISE Design Suite, Vivado Design Suite, and Zynq-7000 All Programmable SoCs."
b'http://blogs.zebra.com/blog/bid/59489/5-Hot-Topics-in-Retail-Technology-2-Apple-s-iPad',"According to RIS research, 44.4% of retail respondents use Apple products, making it the top choice when it comes to mobile retail point-of-sale (POS).",";According to the RIS, point-of-sale is the heart of the retail shopping e. With improved customer service as the main goal, retailers are using the iPad and related technology to boost customer touch time and promote a multichannel presence in the store.","And the applications will only continue to e.; Things Remembered, a personalized gift store, uses the iPad as a self-service kiosk so customers can design their own gifts; Delta airlines installed iPads at its JFK terminal so passengers can pass the time with digital entertainment, order food and beverages; 4food in New York City distributes iPads to customers, allowing them to quickly browse menus, and customize their orders while at the table;City Sports uses iPads to allow customers to not only browse products, but also connect with local retailers, events, and other area services; As part of J.C. Penneys findmore campaign, sales associates use iPads to showcase full offerings of jewelry and other products beyond whats just in the store; Pumas iPad stations allow customers to design their own sneakers, right in the store; Cosmopolitan Hotel of Las Vegas installed iPads at the registration counter so guests can browse the hotels vast range of services;Its clear that the iPad, and other mobile POS technologies, are revolutionizing the retail e.Learn how ; powers the iPad and Zebra mobile printers to create a complete mobile POS solution, ;.","According to RIS research, 44.4% of retail respondents use Apple products, making it the top choice when it comes to mobile retail point-of-sale (POS).",";According to the RIS, point-of-sale is the heart of the retail shopping e. With improved customer service as the main goal, retailers are using the iPad and related technology to boost customer touch time and promote a multichannel presence in the store.","And the applications will only continue to e.; Things Remembered, a personalized gift store, uses the iPad as a self-service kiosk so customers can design their own gifts; Delta airlines installed iPads at its JFK terminal so passengers can pass the time with digital entertainment, order food and beverages; 4food in New York City distributes iPads to customers, allowing them to quickly browse menus, and customize their orders while at the table;City Sports uses iPads to allow customers to not only browse products, but also connect with local retailers, events, and other area services; As part of J.C. Penneys findmore campaign, sales associates use iPads to showcase full offerings of jewelry and other products beyond whats just in the store; Pumas iPad stations allow customers to design their own sneakers, right in the store; Cosmopolitan Hotel of Las Vegas installed iPads at the registration counter so guests can browse the hotels vast range of services;Its clear that the iPad, and other mobile POS technologies, are revolutionizing the retail e.Learn how ; powers the iPad and Zebra mobile printers to create a complete mobile POS solution, ;."
b'http://pressreleases.davita.com/2013-11-25-DaVita-HealthCare-Partners-Inc-Comments-on-the-Final-CMS-ESRD-Rates-and-Provides-Initial-2014-Operating-Income-Guidance',The company e 2014 operating income for our dialysis services and related ancillary business to be in the range of .,The company e 2014 operating income for (HCP) to be in the range of .,"The primary reason for a substantial e year-on-year decline in HCP operating income in 2014 is the previously announced cuts, which the company will have limited ability to offset.",The company e 2014 operating income for our dialysis services and related ancillary business to be in the range of .,The company e 2014 operating income for (HCP) to be in the range of .,"The primary reason for a substantial e year-on-year decline in HCP operating income in 2014 is the previously announced cuts, which the company will have limited ability to offset."
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229814&c=254471&p=irol-newsArticle_Print',These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company's ability to enter into additional projects with Island Offshore or Statoil, the amount of subsea equipment actually ordered pursuant to the agreement and the Company's ability to successfully manufacture and deliver, and Island Offshore's and Statoil's acceptance of, the subsea systems ordered.",These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company's ability to enter into additional projects with Island Offshore or Statoil, the amount of subsea equipment actually ordered pursuant to the agreement and the Company's ability to successfully manufacture and deliver, and Island Offshore's and Statoil's acceptance of, the subsea systems ordered."
b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/',";When speaking with Department of Corrections agencies, the most common use case they are looking to address is delivery of specific applications to prisons throughout the state.","As these inmates do not have their own laptops (imagine that BYOD policy), DOC agencies set up computer labs and classrooms with devices for their use where they can access resources such as law libraries and GED courses.","Using Citrix XenApp, these apps can be delivered to thin clients in prisons computer labs/classrooms across the state.",";When speaking with Department of Corrections agencies, the most common use case they are looking to address is delivery of specific applications to prisons throughout the state.","As these inmates do not have their own laptops (imagine that BYOD policy), DOC agencies set up computer labs and classrooms with devices for their use where they can access resources such as law libraries and GED courses.","Using Citrix XenApp, these apps can be delivered to thin clients in prisons computer labs/classrooms across the state."
b'https://www.xilinx.com/news/press/2014/xilinx-expands-20-nm-kintex-ultrascale-portfolio-for-the-most-demanding-data-center-acceleration-video-and-signal-processing-applications.html',";Nov 04, 2014;, ; / - Xilinx, Inc. (NASDAQ: XLNX) today announced the e of its 20 nm portfolio with shipment of the Kinte UltraScale; KU115 FPGA.","As the flagship of the Kintex UltraScale family, the KU115 offers the highest DSP count available in a single programmable device, doubling the DSP resources previously available.","With the KU115 now shipping to multiple customers, Xilinx has delivered its fourth 20 nm UltraScale device of this portfolio.",";Nov 04, 2014;, ; / - Xilinx, Inc. (NASDAQ: XLNX) today announced the e of its 20 nm portfolio with shipment of the Kinte UltraScale; KU115 FPGA.","As the flagship of the Kintex UltraScale family, the KU115 offers the highest DSP count available in a single programmable device, doubling the DSP resources previously available.","With the KU115 now shipping to multiple customers, Xilinx has delivered its fourth 20 nm UltraScale device of this portfolio."
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229904&c=254471&p=irol-newsArticle_Print',These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise.",These forward-looking statements are based on the Company's current e and beliefs concerning future developments and their potential effect on the Company.,;All of the Company's forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company's control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.,"The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise."
b'https://www.xilinx.com/news/press/2016/xilinx-board-of-directors-increases-repurchase-authorization-by-1-billion.html',;This release contains forward-looking statements and projections.,"Forward-looking statements and projections can often be identified by the use of forward-looking words such as ""e,"" ""believe,"" ""may,"" ""will,"" ""could,"" ""anticipate,"" ""estimate,"" ""continue,"" ""plan,"" ""intend,"" ""project"" or other similar e. Statements that refer to or are based on projections, uncertain events or assumptions also identify forward-looking statements.",We undertake no obligation to update such forward-looking statements.,;This release contains forward-looking statements and projections.,"Forward-looking statements and projections can often be identified by the use of forward-looking words such as ""e,"" ""believe,"" ""may,"" ""will,"" ""could,"" ""anticipate,"" ""estimate,"" ""continue,"" ""plan,"" ""intend,"" ""project"" or other similar e. Statements that refer to or are based on projections, uncertain events or assumptions also identify forward-looking statements.",We undertake no obligation to update such forward-looking statements.
b'https://www.citrix.com/blogs/2017/08/24/meet-security-compliance-and-be-scalable-with-netscaler-fips-sdx/',"With a FIPS 140-2 Level 2 compliant Citrix NetScaler SDX, you can achieve security compliance and easily deploy ADC instances to meet your performance requirements.",The purpose of this article is to highlight the architecture of the FIPS SDX and provide a step by step setup guide of the FIPS HSM and deployment of a NetScaler HA pair that is FIPS enabled.,";This document reviews the steps required to configure the NetScaler SDX FIPS appliance, starting with the out of box initial configuration of the SDX and hardware security module (HSM) initialization.","With a FIPS 140-2 Level 2 compliant Citrix NetScaler SDX, you can achieve security compliance and easily deploy ADC instances to meet your performance requirements.",The purpose of this article is to highlight the architecture of the FIPS SDX and provide a step by step setup guide of the FIPS HSM and deployment of a NetScaler HA pair that is FIPS enabled.,";This document reviews the steps required to configure the NetScaler SDX FIPS appliance, starting with the out of box initial configuration of the SDX and hardware security module (HSM) initialization."
b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/',dad and I have always been close.,"Obviously, I didn know my dad was responsible at the time but I have come to appreciate this and many other fond memories of my dad.",My dad was a hard-working carpenter until the day he died at 71.,dad and I have always been close.,"Obviously, I didn know my dad was responsible at the time but I have come to appreciate this and many other fond memories of my dad.",My dad was a hard-working carpenter until the day he died at 71.
b'https://www.caesars.com/rio-las-vegas/restaurants/royal-india-bistro?icml=lasvegasblog_CNW_Restaurants_RLV',The full bar features imported premium Indian beer.Royal India Bistro is known for preparing each dish with the same bold flavors and simplicity found today in India.,";Enjoy a truly Indian e by starting your meal with one of our famous fire baked breads, Naan.",;Dine like royalty at the Royal India Bistro;Naan to pair with any meal;The freshest Indian cuisine in Las Vegas;Make your reservation today;E Offers for Total Rewards Members;Subscribe To Our Email Newsletter;TOTAL REWARDS;Caesars welcomes those that are of legal casino gambling age to our website.;.,The full bar features imported premium Indian beer.Royal India Bistro is known for preparing each dish with the same bold flavors and simplicity found today in India.,";Enjoy a truly Indian e by starting your meal with one of our famous fire baked breads, Naan.",;Dine like royalty at the Royal India Bistro;Naan to pair with any meal;The freshest Indian cuisine in Las Vegas;Make your reservation today;E Offers for Total Rewards Members;Subscribe To Our Email Newsletter;TOTAL REWARDS;Caesars welcomes those that are of legal casino gambling age to our website.;.
b'https://www.citrix.com/blogs/2016/12/14/why-citrix-is-the-choice-for-healthcare/',We engage with both IT and clinical leaders on a regular basis to understand and map clinical workflow pathways so that we can implement solutions that streamline clinical care without disrupting the day to day work of clinical staff.,; We understand that NHS trusts face both clinical and financial pressures.,By engaging with clinical staff and understanding the strategic situations of individual trusts we can work together to build a benefits realisation roadmap based on the implementation of our solutions.,We engage with both IT and clinical leaders on a regular basis to understand and map clinical workflow pathways so that we can implement solutions that streamline clinical care without disrupting the day to day work of clinical staff.,; We understand that NHS trusts face both clinical and financial pressures.,By engaging with clinical staff and understanding the strategic situations of individual trusts we can work together to build a benefits realisation roadmap based on the implementation of our solutions.
b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/',"do retailers assure their reinforcements offer good information, and accurately represent the retail brand at the point of need in the store With the holiday rush ratcheting up, these workers don have the days or weeks for the training most full time associates get.","#BlackFriday http:/ctt.ec/4K9+ Here are four tips for turning seasonal help in to shopping sales success: Digestible content should be accessible at the point of need via tablets, mobile apps, or in-store kiosks.","The customer comes to the store for an e you want your associate focused on providing that e, versus simply making the sale.","do retailers assure their reinforcements offer good information, and accurately represent the retail brand at the point of need in the store With the holiday rush ratcheting up, these workers don have the days or weeks for the training most full time associates get.","#BlackFriday http:/ctt.ec/4K9+ Here are four tips for turning seasonal help in to shopping sales success: Digestible content should be accessible at the point of need via tablets, mobile apps, or in-store kiosks.","The customer comes to the store for an e you want your associate focused on providing that e, versus simply making the sale."
b'https://www.rosneft.com/press/releases/item/153647/',";Moreover the Agreement envisages Rosneft sponsorship of the LADA SPORT ROSNEFT auto sports team, therefore the parties are aimed at building on the progress of LADA cars in the worlds and Russian Touring Championships by presenting a joint team at the WTCC (World Touring Car Championship) and Russian Circuit Racing Series starting from the year 2015.","At that time LADA SPORT ROSNEFT team on the international competitions will compete on LADA Vesta Sport cars, while Russian events will feature Lada Kalina Sport cars.",Participated in 2009 as a works team on the LADA 110 and LADA Priora cars.,";Moreover the Agreement envisages Rosneft sponsorship of the LADA SPORT ROSNEFT auto sports team, therefore the parties are aimed at building on the progress of LADA cars in the worlds and Russian Touring Championships by presenting a joint team at the WTCC (World Touring Car Championship) and Russian Circuit Racing Series starting from the year 2015.","At that time LADA SPORT ROSNEFT team on the international competitions will compete on LADA Vesta Sport cars, while Russian events will feature Lada Kalina Sport cars.",Participated in 2009 as a works team on the LADA 110 and LADA Priora cars.
